

stn;time;tre200h0
BER;2018072223;18.5
BER;2018072300;18.0
BER;2018072301;17.4
BER;2018072302;16.2
BER;2018072303;15.5
BER;2018072304;14.3
BER;2018072305;14.1
BER;2018072306;16.2
BER;2018072307;18.1
BER;2018072308;20.1
BER;2018072309;21.8
BER;2018072310;22.7
BER;2018072311;23.8
BER;2018072312;24.7
BER;2018072313;24.7
BER;2018072314;25.6
BER;2018072315;26.4
BER;2018072316;25.7
BER;2018072317;25.5
BER;2018072318;24.9
BER;2018072319;23.4
BER;2018072320;21.1
BER;2018072321;18.9
BER;2018072322;17.7
BER;2018072323;17.5
BER;2018072400;16.3
BER;2018072401;15.6
BER;2018072402;14.6
BER;2018072403;13.9
BER;2018072404;13.7
BER;2018072405;13.8
BER;2018072406;16.4
BER;2018072407;19.2
BER;2018072408;20.8
BER;2018072409;22.8
BER;2018072410;24.6
BER;2018072411;25.4
BER;2018072412;27.3
BER;2018072413;28.5
BER;2018072414;29.2
BER;2018072415;29.9
BER;2018072416;29.9
BER;2018072417;29.2
BER;2018072418;27.6
BER;2018072419;24.4
BER;2018072420;24.1
BER;2018072421;23.1
BER;2018072422;22.4
BER;2018072423;21.7
BER;2018072500;19.9
BER;2018072501;18.5
BER;2018072502;18.3
BER;2018072503;18.3
BER;2018072504;18.5
BER;2018072505;18.5
BER;2018072506;18.9
BER;2018072507;19.8
BER;2018072508;21.0
BER;2018072509;22.8
BER;2018072510;24.5
BER;2018072511;26.3
BER;2018072512;28.0
BER;2018072513;28.2
BER;2018072514;28.1
BER;2018072515;28.7
BER;2018072516;28.9
BER;2018072517;28.6
BER;2018072518;27.8
BER;2018072519;25.1
BER;2018072520;21.5
BER;2018072521;19.6
BER;2018072522;19.4
BER;2018072523;18.3
BER;2018072600;17.4
BER;2018072601;17.3
BER;2018072602;16.1
BER;2018072603;15.7
BER;2018072604;15.7
BER;2018072605;14.7
BER;2018072606;17.2
BER;2018072607;20.5
BER;2018072608;22.8
BER;2018072609;24.8
BER;2018072610;27.4
BER;2018072611;29.8
BER;2018072612;30.4
BER;2018072613;31.2
BER;2018072614;30.8
BER;2018072615;31.4
BER;2018072616;31.2
BER;2018072617;30.5
BER;2018072618;29.7
BER;2018072619;26.8
BER;2018072620;22.1
BER;2018072621;20.6
BER;2018072622;19.7
BER;2018072623;18.5
BER;2018072700;17.1
BER;2018072701;16.6
BER;2018072702;16.0
BER;2018072703;15.4
BER;2018072704;14.6
BER;2018072705;14.6
BER;2018072706;16.8
BER;2018072707;20.4
BER;2018072708;23.2
BER;2018072709;25.0
BER;2018072710;26.6
BER;2018072711;27.6
BER;2018072712;28.6
BER;2018072713;29.8
BER;2018072714;29.9
BER;2018072715;30.3
BER;2018072716;30.3
BER;2018072717;30.2
BER;2018072718;29.5
BER;2018072719;25.7
BER;2018072720;21.3
BER;2018072721;21.1
BER;2018072722;20.5
BER;2018072723;18.9
BER;2018072800;18.0
BER;2018072801;17.5
BER;2018072802;17.0
BER;2018072803;16.7
BER;2018072804;16.7
BER;2018072805;17.4
BER;2018072806;17.6
BER;2018072807;17.6
BER;2018072808;19.0
BER;2018072809;20.0
BER;2018072810;19.3
BER;2018072811;19.9
BER;2018072812;20.3
BER;2018072813;20.1
BER;2018072814;19.9
BER;2018072815;20.4
BER;2018072816;21.0
BER;2018072817;21.5
BER;2018072818;21.2
BER;2018072819;19.6
BER;2018072820;17.5
BER;2018072821;16.8
BER;2018072822;16.3
BER;2018072823;16.3
BER;2018072900;16.1
BER;2018072901;15.8
BER;2018072902;15.1
BER;2018072903;14.8
BER;2018072904;14.2
BER;2018072905;14.4
BER;2018072906;16.3
BER;2018072907;18.3
BER;2018072908;19.9
BER;2018072909;21.6
BER;2018072910;23.2
BER;2018072911;24.6
BER;2018072912;26.1
BER;2018072913;26.8
BER;2018072914;28.5
BER;2018072915;28.6
BER;2018072916;28.8
BER;2018072917;28.7
BER;2018072918;28.0
BER;2018072919;24.8
BER;2018072920;20.6
BER;2018072921;19.6
BER;2018072922;18.8
BER;2018072923;18.0
BER;2018073000;17.4
BER;2018073001;16.7
BER;2018073002;16.1
BER;2018073003;15.4
BER;2018073004;15.1
BER;2018073005;15.1
BER;2018073006;16.6
BER;2018073007;19.7
BER;2018073008;22.8
BER;2018073009;25.1
BER;2018073010;26.8
BER;2018073011;28.5
BER;2018073012;29.8
BER;2018073013;30.6
BER;2018073014;31.4
BER;2018073015;31.4
BER;2018073016;31.7
BER;2018073017;31.3
BER;2018073018;29.3
BER;2018073019;25.2
BER;2018073020;22.9
BER;2018073021;20.8
BER;2018073022;19.6
BER;2018073023;19.5
BER;2018073100;18.4
BER;2018073101;17.9
BER;2018073102;17.2
BER;2018073103;16.6
BER;2018073104;15.8
BER;2018073105;16.0
BER;2018073106;18.1
BER;2018073107;21.4
BER;2018073108;24.3
BER;2018073109;25.8
BER;2018073110;27.8
BER;2018073111;29.6
BER;2018073112;30.7
BER;2018073113;31.4
BER;2018073114;31.9
BER;2018073115;32.4
BER;2018073116;31.9
BER;2018073117;30.4
BER;2018073118;28.8
BER;2018073119;26.9
BER;2018073120;24.2
BER;2018073121;23.0
BER;2018073122;21.5
BER;2018073123;20.8
BER;2018080100;20.4
BER;2018080101;19.5
BER;2018080102;18.6
BER;2018080103;17.8
BER;2018080104;17.2
BER;2018080105;17.2
BER;2018080106;19.0
BER;2018080107;20.9
BER;2018080108;23.5
BER;2018080109;25.6
BER;2018080110;27.9
BER;2018080111;29.3
BER;2018080112;30.0
BER;2018080113;31.0
BER;2018080114;30.7
BER;2018080115;29.6
BER;2018080116;24.9
BER;2018080117;22.9
BER;2018080118;21.9
BER;2018080119;21.3
BER;2018080120;20.8
BER;2018080121;20.3
BER;2018080122;19.5
BER;2018080123;18.7
BER;2018080200;18.1
BER;2018080201;18.1
BER;2018080202;17.7
BER;2018080203;17.1
BER;2018080204;16.7
BER;2018080205;16.7
BER;2018080206;18.0
BER;2018080207;19.9
BER;2018080208;21.4
BER;2018080209;23.4
BER;2018080210;24.9
BER;2018080211;26.4
BER;2018080212;28.1
BER;2018080213;29.4
BER;2018080214;29.9
BER;2018080215;30.2
BER;2018080216;30.1
BER;2018080217;29.6
BER;2018080218;28.7
BER;2018080219;27.4
BER;2018080220;24.5
BER;2018080221;22.0
BER;2018080222;21.6
BER;2018080223;20.6
BER;2018080300;20.1
BER;2018080301;20.1
BER;2018080302;19.2
BER;2018080303;19.1
BER;2018080304;18.9
BER;2018080305;18.1
BER;2018080306;19.3
BER;2018080307;21.9
BER;2018080308;24.0
BER;2018080309;25.9
BER;2018080310;27.4
BER;2018080311;29.0
BER;2018080312;30.3
BER;2018080313;31.4
BER;2018080314;32.2
BER;2018080315;32.4
BER;2018080316;32.4
BER;2018080317;31.9
BER;2018080318;30.9
BER;2018080319;28.6
BER;2018080320;25.0
BER;2018080321;23.3
BER;2018080322;22.5
BER;2018080323;21.9
BER;2018080400;21.9
BER;2018080401;20.8
BER;2018080402;20.3
BER;2018080403;19.9
BER;2018080404;19.2
BER;2018080405;18.7
BER;2018080406;20.4
BER;2018080407;23.4
BER;2018080408;25.3
BER;2018080409;27.5
BER;2018080410;28.7
BER;2018080411;30.0
BER;2018080412;31.6
BER;2018080413;31.2
BER;2018080414;32.4
BER;2018080415;32.1
BER;2018080416;30.5
BER;2018080417;28.2
BER;2018080418;27.6
BER;2018080419;26.7
BER;2018080420;24.0
BER;2018080421;22.2
BER;2018080422;22.4
BER;2018080423;21.1
BER;2018080500;20.2
BER;2018080501;20.2
BER;2018080502;19.7
BER;2018080503;18.6
BER;2018080504;17.8
BER;2018080505;17.4
BER;2018080506;19.2
BER;2018080507;22.4
BER;2018080508;25.0
BER;2018080509;27.0
BER;2018080510;28.8
BER;2018080511;30.5
BER;2018080512;31.5
BER;2018080513;32.5
BER;2018080514;32.2
BER;2018080515;32.6
BER;2018080516;32.1
BER;2018080517;31.5
BER;2018080518;30.3
BER;2018080519;28.6
BER;2018080520;27.2
BER;2018080521;26.3
BER;2018080522;24.0
BER;2018080523;22.2
BER;2018080600;21.3
BER;2018080601;20.7
BER;2018080602;19.5
BER;2018080603;19.5
BER;2018080604;19.0
BER;2018080605;19.3
BER;2018080606;20.7
BER;2018080607;23.2
BER;2018080608;24.9
BER;2018080609;26.6
BER;2018080610;28.2
BER;2018080611;29.9
BER;2018080612;30.9
BER;2018080613;31.3
BER;2018080614;32.0
BER;2018080615;31.7
BER;2018080616;29.4
BER;2018080617;27.6
BER;2018080618;26.5
BER;2018080619;25.2
BER;2018080620;24.6
BER;2018080621;24.3
BER;2018080622;22.5
BER;2018080623;21.1
BER;2018080700;20.5
BER;2018080701;20.0
BER;2018080702;19.4
BER;2018080703;19.2
BER;2018080704;18.5
BER;2018080705;19.1
BER;2018080706;18.5
BER;2018080707;18.4
BER;2018080708;19.7
BER;2018080709;20.8
BER;2018080710;21.9
BER;2018080711;24.1
BER;2018080712;27.0
BER;2018080713;29.3
BER;2018080714;30.3
BER;2018080715;31.1
BER;2018080716;30.9
BER;2018080717;30.9
BER;2018080718;29.8
BER;2018080719;26.8
BER;2018080720;25.3
BER;2018080721;24.8
BER;2018080722;24.1
BER;2018080723;23.6
BER;2018080800;22.3
BER;2018080801;21.7
BER;2018080802;20.3
BER;2018080803;20.3
BER;2018080804;20.8
BER;2018080805;19.8
BER;2018080806;19.9
BER;2018080807;21.1
BER;2018080808;23.3
